date,content,thumbUp
0621,昕姐加油(ง •̀_•́)ง,23
0621,昕昕子我和你一起乘风破浪,14
0621,这个字幕咋回事啊，只能看一半儿,2
0621,昕昕子冲呀！,5
0621,熊奥在看吧,6
0621,撕起来时候想想都非常有看点!!,1
0621,第一次追这个类型节目,6
0621,miss A冲啊,2
0621,我来啦哈哈哈哈,2
0621,来了，好看(｡･ω･｡)ﾉ♡,0
0621,好看,0
0621,来了来了,2
0621,不要惹30岁以上的女人,51
0621,美女们等着我哈😄,1
0621,张含韵怎么越来越可爱了,33
0621,每个年龄都有自己的魅力。冲就完了。,1
0621,昕姐加油，fighting！！！,0
0621,小雨妈妈来了！！！,5
0621,来看小明历险记啦哈哈哈哈哈哈哈哈哈,6
0621,昕姐冲冲冲,10
0621,金晨给我冲！,1
0621,有综艺追了,6
0621,郑希怡。阿朵,1
0621,昕姐冲阿,0
0621,昕姐冲吖,12
0621,为什么我的和别人的不一样,8
0621,哇😯100分钟？,5
0621,我爱姐姐们,8
0621,郑希怡，陈松伶，丁当，钟丽缇加油，冲啊，姐姐们,0
0621,为了姐姐充了会员！！！！,3
0621,含韵含韵,26
0621,姐姐们冲啊,15
0621,万茜 加油 冲🦆,14
0621,怎么首页连推送都没有啊，翻了好几遍都翻不到,3
0621,金晨冲冲冲,12
0621,如果有乘风破浪的哥哥，我首推朱一龙哥哥！,2
0621,Wa感觉这综艺才是正能量 ,18
0621,万茜小姐姐冲,70
0621,王霏霏 ！姐姐加油💪,11
0621,给嘉尔pick的姐姐打call,3
0621,郁可唯 11年了  爱你 冲冲冲 ,4
0621,所有姐姐们我都爱  姐姐们冲啊,2
0621,梦辰冲呀冲呀！,7
0621,来啦来啦来啦来啦啊啊啊,7
0621,乘风破浪的姐姐们 ，来了来了,3
0621,姐姐们冲冲冲！！！昕姐冲冲冲！！！,2
0621,姐姐们冲鸭,4
0621,断水大师哈哈哈哈哈哈哈哈哈哈或或,2
0621,姐姐们，小雨我来了,11
0621,郁可唯沖鸭,7
0621,吴昕冲鸭！！！！,5
0621,我来了我来了,7
0621,鲜花和征途 圣依小姐姐,0
0621,姐姐们给我冲,2
0621,姐姐们，加油＾０＾~,13
0621,张含韵这么多年都没怎么变，真是娃娃脸,3
0621,宁静冲呀！！！,9
0621,张含韵，是我的青春,9
0621,啊都给爷pink静姐,2
0621,宁静姐姐冲冲啊冲冲冲,1
0621,含韵真的看起来好年轻,7
0621,姐姐好飒,12
0621,昕昕子加油(ง •̀_•́)ง,3
0621,小花小花你最棒,6
0621,愿大家都有个美妙的夏天:D(⁎⁍̴̛ᴗ⁍̴̛⁎),0
0621,都是VIP说话大声点~~~,3
0621,老子是来看万茜的,12
0621,张雨绮冲鸭！！！,22
0621,是王晰念的旁白吗！,7
0621,开头好像金陵十三钗那种风格,2
0621,真帅啊好棒的陈松伶,5
0621,在抖音一直刷到宁静姐姐哈哈来看看,1
0621,吴昕沈梦辰,19
0621,你一票我一票，昕姐明天就出道,8
0621,太刺激了,11
0621,在线call007,0
0621,姐姐们冲鸭,5
0621,姐姐们  我来了,2
0621,大型吃瓜  来啦 来啦,20
0621,每个姐姐都好喜欢,7
0621,王鸥 杨蓉 我大明侦！！！冲呀！！！,6
0621,冲鸭姐姐们,10
0621,这个我喜欢妞多注意进化自己词典别中文鸟语和破词,1
0621,姐姐们我来了！,5
0621,都不知道播了,24
0621,霏霏王霏霏美死了,6
0621,喜欢这个气场,4
0621,含韵冲冲冲！！！！,1
0621,姐姐们加油呀 看好你们哦,0
0621,郁可唯啊啊啊啊,4
0621,吴昕小姐姐加油,33
0621,霏霏和佳冲啊,8
0621,李斯丹妮,10
0621,绝美姐姐，太飒了,6
0621,啊啊啊啊啊啊！都好喜欢我的妈！,0
0621,唯唯子冲啊！！！,6
0621,白冰姐姐我来了嘿嘿嘿,15
0621,郁可唯我来了,9
0621,啦啦啦都不知道开播了,2
0621,期待期待,5
0621,冲呀姐姐们！！,0
0621,孟佳冲鸭,2
0621,姐姐们冲鸭,9
0621,张雨绮万茜钟丽缇啊啊啊麻麻爱你们,4
0621,姐姐们身材好好哦,6
0621,啊啊啊啊为姐姐们打call!!!!!,3
0621,终于播了！,4
0621,成功的女人们来了,61
0621,给姐姐们摁棒！！！姐姐们加油鸭！！,24
0621,今年最期待的节目开播啦，喜大普奔,5
0621,竟然藏这么严实~~~~~~~~~~,2
0621,姐姐们冲啊啊啊啊啊！！！！！！！！！！！！！,0
0621,唯唯子沖鸭,9
0621,张含韵给爷冲！！！,28
0621,宁静真的很漂亮，超美丽，很有魅力，很有个性,6
0621,漂亮的小姐姐们，都喜欢,1
0621,姐姐们身材都不错阿,14
0621,来咯  专门开了个会员,0
0621,来啦😄,1
0621,我的妈姐姐们都太好看了吧！！！！,24
0621,支持各位姐姐,22
0621,姐姐们，冲鸭,16
